Frequency Rank	Word	IPA	Meaning	Part of Speech	Lemma	Example	Example IPA	Example Meaning	Source	Source Rank	Labels	Notes
73	creo	/ˈkɾeo/	I think; I believe	verb form	creer	A veces creo que tienes razón.	[a ˈβeses ˈkɾeo ke ˈtjenes raˈson]	Sometimes I think you are right.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 15; OpenSubtitles2018 79; OpenSLR21 940	core; verb form; present; first person	First-person singular present of creer.
74	voy	/boj/	I go; I am going	verb form	ir	Mañana voy al médico temprano.	[maˈɲana βoj al ˈmeðiko temˈpɾano]	Tomorrow I am going to the doctor early.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 80; OpenSLR21 2400	core; verb form; present; first person; movement	First-person singular present of ir.
75	va	/ba/	goes; is going	verb form	ir	Mi hermana va al trabajo en bicicleta.	[mi eɾˈmana βa al tɾaˈβaxo em bisiˈkleta]	My sister goes to work by bicycle.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 100; OpenSLR21 393	core; verb form; present; third person; movement	Third-person singular or formal-you present of ir.
76	vamos	/ˈbamos/	we go; let's go	verb form	ir	Los domingos vamos al mercado juntos.	[los ðoˈmiŋɡos ˈβamos al meɾˈkaðo ˈxuntos]	On Sundays we go to the market together.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 47; OpenSLR21 961	core; verb form; present; first person plural; movement	First-person plural present of ir; also used as an invitation.
77	hace	/ˈase/	does; makes	verb form	hacer	Mi padre hace pan los sábados.	[mi ˈpaðɾe ˈase pan los ˈsaβaðos]	My father makes bread on Saturdays.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 109; OpenSLR21 127	core; verb form; present; third person	Third-person singular or formal-you present of hacer.
78	hacer	/aˈseɾ/	to do; to make	verb	hacer	Quiero hacer una pregunta sencilla.	[ˈkjeɾo aˈseɾ ˈuna pɾeˈɣunta senˈsiʝa]	I want to ask a simple question.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 68; OpenSLR21 248	core; verb; infinitive	Highly irregular verb used in many fixed expressions.
79	decir	/deˈsiɾ/	to say; to tell	verb	decir	Es difícil decir la verdad siempre.	[es ðiˈfisil ðeˈsiɾ la βeɾˈðað ˈsjempɾe]	It is difficult to always tell the truth.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 20; OpenSubtitles2018 111; OpenSLR21 860	core; verb; infinitive; communication	Irregular verb; often followed by what is said or by an object pronoun.
80	ver	/beɾ/	to see; to watch	verb	ver	Podemos ver el mar desde aquí.	[poˈðemos βeɾ el maɾ ˈðesðe aˈki]	We can see the sea from here.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 120; OpenSLR21 779	core; verb; infinitive; perception	Irregular first-person present: veo.
81	ir	/iɾ/	to go	verb	ir	Prefiero ir a pie cuando puedo.	[pɾeˈfjeɾo iɾ a pje ˈkwando ˈpweðo]	I prefer to go on foot when I can.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 128; OpenSLR21 1495	core; verb; infinitive; movement	Highly irregular verb; ir a + infinitive expresses a near future.
82	ser	/seɾ/	to be	verb	ser	Quiero ser médico algún día.	[ˈkjeɾo seɾ ˈmeðiko alˈɣun ˈdia]	I want to be a doctor someday.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 63; OpenSLR21 60	core; verb; infinitive; identity	Commonly expresses identity, origin, classification, and inherent traits.
83	fue	/fwe/	was; went	verb form	ser; ir	La reunión fue corta y tranquila.	[la reuˈnjon fwe ˈkoɾta i tɾaŋˈkila]	The meeting was short and calm.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 69; OpenSLR21 26	core; verb form; preterite; third person	Third-person singular preterite of both ser and ir.
84	son	/son/	are	verb form	ser	Estas frutas son muy dulces.	[ˈestas ˈfɾutas son muj ˈðulses]	These fruits are very sweet.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 77; OpenSLR21 91	core; verb form; present; third person plural	Third-person plural present of ser.
85	casa	/ˈkasa/	house; home	noun	casa	Nuestra casa tiene un jardín pequeño.	[ˈnwestɾa ˈkasa ˈtjene uŋ xaɾˈðin peˈkeɲo]	Our house has a small garden.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 16; OpenSubtitles2018 91; OpenSLR21 234	core; noun; feminine; home	Feminine noun: la casa.
86	tiempo	/ˈtjempo/	time; weather	noun	tiempo	¿Tienes tiempo para tomar un café?	[ˈtjenes ˈtjempo ˈpaɾa toˈmaɾ uŋ kaˈfe]	Do you have time to have a coffee?	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 95; OpenSLR21 174	core; noun; masculine; time	Masculine noun; el tiempo can also mean weather.
87	día	/ˈdia/	day	noun	día	Hoy es un día especial para nosotros.	[oj es un ˈdia espeˈsjal ˈpaɾa noˈsotɾos]	Today is a special day for us.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 23; OpenSubtitles2018 134; OpenSLR21 178	core; noun; masculine; time	Masculine despite ending in -a: el día.
88	noche	/ˈnotʃe/	night	noun	noche	La calle queda tranquila por la noche.	[la ˈkaʝe ˈkeða tɾaŋˈkila poɾ la ˈnotʃe]	The street becomes quiet at night.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 136; OpenSLR21 169	core; noun; feminine; time	Feminine noun: la noche.
89	vez	/bes/	time; occasion	noun	vez	Esta vez llegamos antes que todos.	[ˈesta βes ʝeˈɣamos ˈantes ke ˈtoðos]	This time we arrived before everyone.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 71; OpenSLR21 139	core; noun; feminine; frequency	Feminine noun; frequent in una vez and otra vez.
90	gente	/ˈxente/	people	noun	gente	Hay mucha gente en la estación.	[aj ˈmutʃa ˈxente en la estaˈsjon]	There are many people at the station.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 145; OpenSLR21 634	core; noun; feminine; people; collective	Grammatically singular collective noun: la gente.
91	vida	/ˈbida/	life	noun	vida	La música forma parte de mi vida.	[la ˈmusika ˈfoɾma ˈpaɾte ðe mi ˈβiða]	Music is part of my life.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 122; OpenSLR21 302	core; noun; feminine; life	Feminine noun: la vida.
92	trabajo	/tɾaˈbaxo/	work; job	noun	trabajo	Voy al trabajo en autobús cada mañana.	[boj al tɾaˈβaxo en awtoˈβus ˈkaða maˈɲana]	I go to work by bus every morning.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 142; OpenSLR21 288	core; noun; masculine; work	Masculine noun; also the first-person present of trabajar.
93	agua	/ˈaɡwa/	water	noun	agua	Bebo agua fría después de correr.	[ˈbeβo ˈaɣwa ˈfɾia ðesˈpwes ðe koˈrer]	I drink cold water after running.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 96; OpenSubtitles2018 358; OpenSLR21 801	core; noun; feminine; food and drink	Feminine noun that uses el in the singular: el agua fría.
94	verdad	/beɾˈdad/	truth	noun	verdad	Necesito saber la verdad esta noche.	[neseˈsito saˈβeɾ la βeɾˈðað ˈesta ˈnotʃe]	I need to know the truth tonight.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 90; OpenSLR21 2217	core; noun; feminine; abstract	Feminine noun; ¿verdad? is also a common confirmation tag.
95	bueno	/ˈbweno/	good	adjective	bueno	Este pan está bueno y fresco.	[ˈeste pan esˈta ˈbweno i ˈfɾesko]	This bread tastes good and fresh.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 11; OpenSubtitles2018 50; OpenSLR21 2366	core; adjective; evaluation	Agrees in gender and number; shortens to buen before a masculine singular noun.
96	mejor	/meˈxoɾ/	better; best	adjective	mejor	Hoy me siento mucho mejor.	[oj me ˈsjento ˈmutʃo meˈxoɾ]	I feel much better today.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 108; OpenSLR21 252	core; adjective; comparison	Irregular comparative of bueno; also used as an adverb.
97	claro	/ˈklaɾo/	clear; of course	adjective	claro	El cielo está claro esta mañana.	[el ˈsjelo esˈta ˈklaɾo ˈesta maˈɲana]	The sky is clear this morning.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 26; OpenSubtitles2018 166; OpenSLR21 1468	core; adjective; description	Agrees in gender and number; claro can also mean of course.
98	nuevo	/ˈnwebo/	new	adjective	nuevo	Mi vecino tiene un coche nuevo.	[mi βeˈsino ˈtjene uŋ ˈkotʃe ˈnweβo]	My neighbor has a new car.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 185; OpenSLR21 133	core; adjective; description	Agrees in gender and number.
99	gracias	/ˈɡɾasjas/	thank you; thanks	interjection	gracias	Te doy las gracias por venir.	[te ðoj las ˈɣɾasjas poɾ βeˈniɾ]	I thank you for coming.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 70; OpenSLR21 947	core; interjection; courtesy	Fixed plural form used to express thanks.
100	hola	/ˈola/	hello	interjection	hola	Siempre digo hola al entrar.	[ˈsjempɾe ˈðiɣo ˈola al enˈtɾaɾ]	I always say hello when I enter.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 88; OpenSLR21 39033	core; interjection; greeting	Common informal and neutral greeting.
